id_ies,nome_ies,organizacao_academica,sistema_de_ensino,categoria_administrativa,situacao_da_ies,UF_PROCESSO,UF_CADASTRO,municipio_processo,municipio_cadastro,uf,PUBLICA_PRIVADA,AMBITO_ADMINISTRATIVO
1,UNIVERSIDADE FEDERAL DE MATO GROSSO - UFMT,UNIVERSIDADE,FEDERAL,PÚBLICA FEDERAL,ATIVA,MT,MT,Pontal do Araguaia,Pontal do Araguaia,MT,PÚBLICA,FEDERAL
10,PONTIFICIA UNIVERSIDADE CATOLICA DO PARANA - PUCPR,UNIVERSIDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,PR,PR,Curitiba,Curitiba,PR,PRIVADA,FEDERAL
10001,FACULDADE XYZ - FACXYZ,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,DF,,Brasília,,DF,PRIVADA,FEDERAL
10009,FAMAC - FACULDADE DE MACHADINHO DO OESTE - FAMAC,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,EXTINTA,RO,RO,Machadinho D´Oeste,Machadinho D´Oeste,RO,PRIVADA,FEDERAL
10010,FACULDADE SENAC CONCORDIA - FACSENAC,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,SC,,Concórdia,,SC,PRIVADA,FEDERAL
10011,FACULDADE SENAC CRICIUMA - FACSENAC,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,SC,,Criciúma,,SC,PRIVADA,FEDERAL
10012,FACULDADE SENAC SAO MIGUEL DO OESTE - FACSENAC,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,SC,,São Miguel do Oeste,,SC,PRIVADA,FEDERAL
10013,,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,SC,,Caçador,,SC,PRIVADA,FEDERAL
10016,FACULDADE OBOE - FACO - FACO,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,EXTINTA,CE,CE,Fortaleza,Fortaleza,CE,PRIVADA,FEDERAL
10020,INSTITUTO LOGOS DE EDUCACAO SUPERIOR - ILES,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,EXTINTA,AL,AL,São José da Tapera,São José da Tapera,AL,PRIVADA,FEDERAL
10023,INSTITUTO SUPERIOR DE FORMACAO CONTINUADA ISAG - ISAG,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,PR,,Curitiba,,PR,PRIVADA,FEDERAL
10048,FACULDADES INTEGRADAS  INSTITUTO BRAZIL GLOBAL - FIBG,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,DF,,Brasília,,DF,PRIVADA,FEDERAL
10058,FACULDADE DA FRATERNIDADE DE VALENCA - FFV,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,ATIVA,BA,BA,Valença,Valença,BA,PRIVADA,FEDERAL
10059,FACULDADE DE TECNOLOGIA DE ENSINO SUPERIOR - FATEC - CENTES,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,EXTINTA,MG,MG,Montes Claros,Montes Claros,MG,PRIVADA,FEDERAL
