id_local,uf,municipio
1,AC,ACRELÂNDIA
2,AC,ASSIS BRASIL
3,AC,BRASILÉIA
4,AC,BUJARI
5,AC,CAPIXABA
6,AC,CRUZEIRO DO SUL
7,AC,EPITACIOLÂNDIA
8,AC,FEIJÓ
9,AC,JORDÃO
10,AC,MANOEL URBANO
11,AC,MARECHAL THAUMATURGO
12,AC,MÂNCIO LIMA
13,AC,PLÁCIDO DE CASTRO
14,AC,PORTO ACRE
15,AC,PORTO WALTER
16,AC,RIO BRANCO
17,AC,RODRIGUES ALVES
18,AC,SENA MADUREIRA
19,AC,SENADOR GUIOMARD
20,AC,TARAUACÁ
21,AC,XAPURI
22,AL,ANADIA
23,AL,ARAPIRACA
24,AL,ATALAIA
25,AL,BARRA DE SANTO ANTÔNIO
26,AL,BARRA DE SÃO MIGUEL
27,AL,BATALHA
28,AL,BELO MONTE
29,AL,BOCA DA MATA
30,AL,CACIMBINHAS
31,AL,CAJUEIRO
32,AL,CAMPO ALEGRE
33,AL,CAMPO GRANDE
34,AL,CANAPI
35,AL,CAPELA
36,AL,CHÃ PRETA
37,AL,COITÉ DO NÓIA
38,AL,COLÔNIA LEOPOLDINA
39,AL,CORURIPE
40,AL,CRAÍBAS
41,AL,DELMIRO GOUVEIA
42,AL,DOIS RIACHOS
43,AL,ESTRELA DE ALAGOAS
44,AL,FEIRA GRANDE
45,AL,FLEXEIRAS
46,AL,GIRAU DO PONCIANO
47,AL,IBATEGUARA
48,AL,IGACI
49,AL,IGREJA NOVA
50,AL,INHAPI
51,AL,JACARÉ DOS HOMENS
52,AL,JEQUIÁ DA PRAIA
53,AL,JOAQUIM GOMES
54,AL,JUNQUEIRO
55,AL,LAGOA DA CANOA
56,AL,LIMOEIRO DE ANADIA
57,AL,MACEIÓ
58,AL,MAJOR ISIDORO
59,AL,MARAGOGI
60,AL,MARAVILHA
61,AL,MARECHAL DEODORO
62,AL,MARIBONDO
63,AL,MATA GRANDE
64,AL,MATRIZ DE CAMARAGIBE
65,AL,MESSIAS
66,AL,MINADOR DO NEGRÃO
67,AL,MURICI
68,AL,NOVO LINO
69,AL,OLHO D´ÁGUA DAS FLORES
70,AL,OLIVENÇA
71,AL,OURO BRANCO
72,AL,PALMEIRA DOS ÍNDIOS
73,AL,PARIPUEIRA
74,AL,PASSO DE CAMARAGIBE
75,AL,PENEDO
76,AL,PIAÇABUÇU
77,AL,PILAR
78,AL,PIRANHAS
79,AL,PORTO CALVO
80,AL,PORTO REAL DO COLÉGIO
81,AL,POÇO DAS TRINCHEIRAS
82,AL,PÃO DE AÇÚCAR
83,AL,QUEBRANGULO
84,AL,RIO LARGO
85,AL,SANTA LUZIA DO NORTE
86,AL,SANTANA DO IPANEMA
87,AL,SANTANA DO MUNDAÚ
88,AL,SATUBA
89,AL,SENADOR RUI PALMEIRA
90,AL,SÃO JOSÉ DA LAJE
91,AL,SÃO JOSÉ DA TAPERA
92,AL,SÃO LUÍS DO QUITUNDE
93,AL,SÃO MIGUEL DOS CAMPOS
94,AL,SÃO MIGUEL DOS MILAGRES
95,AL,SÃO SEBASTIÃO
96,AL,TAQUARANA
97,AL,TEOTÔNIO VILELA
98,AL,TRAIPU
99,AL,UNIÃO DOS PALMARES
100,AL,VIÇOSA
101,AL,ÁGUA BRANCA
102,AM,ALVARÃES
103,AM,AMATURÁ
104,AM,ANAMÃ
105,AM,ANORI
106,AM,APUÍ
107,AM,ATALAIA DO NORTE
108,AM,AUTAZES
109,AM,BARCELOS
110,AM,BARREIRINHA
111,AM,BENJAMIN CONSTANT
112,AM,BERURI
113,AM,BOA VISTA DO RAMOS
114,AM,BOCA DO ACRE
115,AM,BORBA
116,AM,CAAPIRANGA
117,AM,CANUTAMA
118,AM,CARAUARI
119,AM,CAREIRO
120,AM,CAREIRO DA VÁRZEA
121,AM,COARI
122,AM,CODAJÁS
123,AM,EIRUNEPÉ
124,AM,ENVIRA
125,AM,FONTE BOA
126,AM,GUAJARÁ
127,AM,HUMAITÁ
128,AM,IPIXUNA
129,AM,IRANDUBA
130,AM,ITACOATIARA
131,AM,ITAMARATI
132,AM,ITAPIRANGA
133,AM,JAPURÁ
134,AM,JURUÁ
135,AM,JUTAÍ
136,AM,LÁBREA
137,AM,MANACAPURU
138,AM,MANAQUIRI
139,AM,MANAUS
140,AM,MANICORÉ
141,AM,MARAÃ
142,AM,MAUÉS
143,AM,NHAMUNDÁ
144,AM,NOVA OLINDA DO NORTE
145,AM,NOVO AIRÃO
146,AM,NOVO ARIPUANÃ
147,AM,PARINTINS
148,AM,PAUINI
149,AM,PRESIDENTE FIGUEIREDO
150,AM,RIO PRETO DA EVA
151,AM,SANTA ISABEL DO RIO NEGRO
152,AM,SANTO ANTÔNIO DO IÇÁ
153,AM,SILVES
154,AM,SÃO GABRIEL DA CACHOEIRA
155,AM,SÃO PAULO DE OLIVENÇA
156,AM,SÃO SEBASTIÃO DO UATUMÃ
157,AM,TABATINGA
158,AM,TAPAUÁ
159,AM,TEFÉ
160,AM,TONANTINS
161,AM,UARINI
162,AM,URUCARÁ
163,AM,URUCURITUBA
164,AP,AMAPÁ
165,AP,CALÇOENE
166,AP,CUTIAS
167,AP,FERREIRA GOMES
168,AP,ITAUBAL
169,AP,LARANJAL DO JARI
170,AP,MACAPÁ
171,AP,MAZAGÃO
172,AP,OIAPOQUE
173,AP,PEDRA BRANCA DO AMAPARI
174,AP,PORTO GRANDE
175,AP,PRACUÚBA
176,AP,SANTANA
177,AP,SERRA DO NAVIO
178,AP,TARTARUGALZINHO
179,AP,VITÓRIA DO JARI
180,BA,ABARÉ
181,BA,ABAÍRA
182,BA,ACAJUTIBA
183,BA,ADUSTINA
184,BA,AIQUARA
185,BA,ALAGOINHAS
186,BA,ALCOBAÇA
187,BA,ALMADINA
188,BA,AMARGOSA
189,BA,AMÉLIA RODRIGUES
190,BA,AMÉRICA DOURADA
191,BA,ANAGÉ
192,BA,ANDARAÍ
193,BA,ANGICAL
194,BA,ANTAS
195,BA,ANTÔNIO CARDOSO
196,BA,ANTÔNIO GONÇALVES
197,BA,APORÁ
198,BA,APUAREMA
199,BA,ARACATU
200,BA,ARACI
201,BA,ARATUÍPE
202,BA,AURELINO LEAL
203,BA,BAIXA GRANDE
204,BA,BANZAÊ
205,BA,BARRA
206,BA,BARRA DA ESTIVA
207,BA,BARRA DO CHOÇA
208,BA,BARRA DO MENDES
209,BA,BARRA DO ROCHA
210,BA,BARREIRAS
211,BA,BARRO ALTO
212,BA,BARRO PRETO
213,BA,BARROCAS
214,BA,BELMONTE
215,BA,BELO CAMPO
216,BA,BIRITINGA
217,BA,BOA NOVA
218,BA,BOA VISTA DO TUPIM
219,BA,BOM JESUS DA LAPA
220,BA,BOM JESUS DA SERRA
221,BA,BONINAL
222,BA,BONITO
223,BA,BOQUIRA
224,BA,BOTUPORÃ
225,BA,BREJOLÂNDIA
226,BA,BREJÕES
227,BA,BROTAS DE MACAÚBAS
228,BA,BRUMADO
229,BA,BUERAREMA
230,BA,BURITIRAMA
231,BA,CAATIBA
232,BA,CABACEIRAS DO PARAGUAÇU
233,BA,CACHOEIRA
234,BA,CACULÉ
235,BA,CAETANOS
236,BA,CAETITÉ
237,BA,CAFARNAUM
238,BA,CAIRU
239,BA,CALDEIRÃO GRANDE
240,BA,CAMACAN
241,BA,CAMAMU
242,BA,CAMAÇARI
243,BA,CAMPO ALEGRE DE LOURDES
244,BA,CAMPO FORMOSO
245,BA,CANARANA
246,BA,CANAVIEIRAS
247,BA,CANDEIAS
248,BA,CANDIBA
249,BA,CANSANÇÃO
250,BA,CANUDOS
251,BA,CAPELA DO ALTO ALEGRE
252,BA,CAPIM GROSSO
253,BA,CARAVELAS
254,BA,CARAÍBAS
255,BA,CARINHANHA
256,BA,CASA NOVA
257,BA,CASTRO ALVES
258,BA,CATU
259,BA,CAÉM
260,BA,CENTRAL
261,BA,CHORROCHÓ
262,BA,CIPÓ
263,BA,COARACI
264,BA,COCOS
265,BA,CONCEIÇÃO DA FEIRA
266,BA,CONCEIÇÃO DO ALMEIDA
267,BA,CONCEIÇÃO DO COITÉ
268,BA,CONCEIÇÃO DO JACUÍPE
269,BA,CONDE
270,BA,CONDEÚBA
271,BA,CORAÇÃO DE MARIA
272,BA,CORDEIROS
273,BA,CORIBE
274,BA,CORONEL JOÃO SÁ
275,BA,CORRENTINA
276,BA,COTEGIPE
277,BA,CRISTÓPOLIS
278,BA,CRISÓPOLIS
279,BA,CRUZ DAS ALMAS
280,BA,CURAÇÁ
281,BA,CÂNDIDO SALES
282,BA,CÍCERO DANTAS
283,BA,DIAS D´ÁVILA
284,BA,DOM BASÍLIO
285,BA,DÁRIO MEIRA
286,BA,ELÍSIO MEDRADO
287,BA,ENCRUZILHADA
288,BA,ENTRE RIOS
289,BA,ESPLANADA
290,BA,EUCLIDES DA CUNHA
291,BA,EUNÁPOLIS
292,BA,FEIRA DE SANTANA
293,BA,FILADÉLFIA
294,BA,FLORESTA AZUL
295,BA,FORMOSA DO RIO PRETO
296,BA,FÁTIMA
297,BA,GANDU
298,BA,GENTIO DO OURO
299,BA,GLÓRIA
300,BA,GONGOGI
301,BA,GOVERNADOR MANGABEIRA
302,BA,GUAJERU
303,BA,GUANAMBI
304,BA,GUARATINGA
305,BA,HELIÓPOLIS
306,BA,IAÇU
307,BA,IBIASSUCÊ
308,BA,IBICARAÍ
309,BA,IBICOARA
310,BA,IBICUÍ
311,BA,IBIPITANGA
312,BA,IBIQUERA
313,BA,IBIRAPITANGA
314,BA,IBIRATAIA
315,BA,IBITIARA
316,BA,IBITITÁ
317,BA,IBOTIRAMA
318,BA,ICHU
319,BA,IGAPORÃ
320,BA,IGRAPIÚNA
321,BA,IGUAÍ
322,BA,ILHÉUS
323,BA,INHAMBUPE
324,BA,IPECAETÁ
325,BA,IPIAÚ
326,BA,IPIRÁ
327,BA,IPUPIARA
328,BA,IRAMAIA
329,BA,IRAQUARA
330,BA,IRARÁ
331,BA,IRECÊ
332,BA,ITABELA
333,BA,ITABERABA
334,BA,ITABUNA
335,BA,ITACARÉ
336,BA,ITAETÉ
337,BA,ITAGI
338,BA,ITAGIBÁ
339,BA,ITAGUAÇU DA BAHIA
340,BA,ITAJU DO COLÔNIA
341,BA,ITAJUÍPE
342,BA,ITAMARAJU
343,BA,ITAMARI
344,BA,ITAMBÉ
345,BA,ITANHÉM
346,BA,ITAPARICA
347,BA,ITAPETINGA
348,BA,ITAPICURU
349,BA,ITAPÉ
350,BA,ITAQUARA
351,BA,ITARANTIM
352,BA,ITATIM
353,BA,ITIRUÇU
354,BA,ITIÚBA
355,BA,ITORORÓ
356,BA,ITUAÇU
357,BA,ITUBERÁ
358,BA,IUIÚ
359,BA,JACARACI
360,BA,JACOBINA
361,BA,JAGUAQUARA
362,BA,JAGUARARI
363,BA,JANDAÍRA
364,BA,JEQUIÉ
365,BA,JEREMOABO
366,BA,JITAÚNA
367,BA,JOÃO DOURADO
368,BA,JUAZEIRO
369,BA,JUCURUÇU
370,BA,JUSSARA
371,BA,JUSSARI
372,BA,JUSSIAPE
373,BA,LAGOA REAL
374,BA,LAJE
375,BA,LAJEDINHO
376,BA,LAJEDO DO TABOCAL
377,BA,LAPÃO
378,BA,LAURO DE FREITAS
379,BA,LENÇÓIS
380,BA,LICÍNIO DE ALMEIDA
381,BA,LIVRAMENTO DE NOSSA SENHORA
382,BA,LUÍS EDUARDO MAGALHÃES
383,BA,MACAJUBA
384,BA,MACARANI
385,BA,MACAÚBAS
386,BA,MACURURÉ
387,BA,MADRE DE DEUS
388,BA,MAIQUINIQUE
389,BA,MAIRI
390,BA,MALHADA
391,BA,MALHADA DE PEDRAS
392,BA,MANOEL VITORINO
393,BA,MANSIDÃO
394,BA,MARACÁS
395,BA,MARAGOGIPE
396,BA,MARAÚ
397,BA,MARCIONÍLIO SOUZA
398,BA,MASCOTE
399,BA,MATA DE SÃO JOÃO
400,BA,MATINA
401,BA,MEDEIROS NETO
402,BA,MIGUEL CALMON
403,BA,MILAGRES
404,BA,MIRANGABA
405,BA,MIRANTE
406,BA,MONTE SANTO
407,BA,MORPARÁ
408,BA,MORRO DO CHAPÉU
409,BA,MORTUGABA
410,BA,MUCUGÊ
411,BA,MUCURI
