data,id_data,ano,mes,dia,trimestre,semana_ano,dia_semana,nome_dia,nome_mes
1969-12-31,19691231,1969,12,31,4,1,2,Wednesday,December
2007-01-03,20070103,2007,1,3,1,1,2,Wednesday,January
2007-01-06,20070106,2007,1,6,1,1,5,Saturday,January
2007-01-08,20070108,2007,1,8,1,2,0,Monday,January
2007-01-10,20070110,2007,1,10,1,2,2,Wednesday,January
2007-01-11,20070111,2007,1,11,1,2,3,Thursday,January
2007-01-12,20070112,2007,1,12,1,2,4,Friday,January
2007-02-03,20070203,2007,2,3,1,5,5,Saturday,February
2007-02-04,20070204,2007,2,4,1,5,6,Sunday,February
2007-02-05,20070205,2007,2,5,1,6,0,Monday,February
2007-02-07,20070207,2007,2,7,1,6,2,Wednesday,February
2007-02-08,20070208,2007,2,8,1,6,3,Thursday,February
2007-02-10,20070210,2007,2,10,1,6,5,Saturday,February
2007-03-04,20070304,2007,3,4,1,9,6,Sunday,March
2007-03-05,20070305,2007,3,5,1,10,0,Monday,March
2007-03-06,20070306,2007,3,6,1,10,1,Tuesday,March
2007-03-07,20070307,2007,3,7,1,10,2,Wednesday,March
2007-03-08,20070308,2007,3,8,1,10,3,Thursday,March
2007-03-09,20070309,2007,3,9,1,10,4,Friday,March
2007-03-10,20070310,2007,3,10,1,10,5,Saturday,March
2007-03-11,20070311,2007,3,11,1,10,6,Sunday,March
2007-03-12,20070312,2007,3,12,1,11,0,Monday,March
2007-03-26,20070326,2007,3,26,1,13,0,Monday,March
2007-03-27,20070327,2007,3,27,1,13,1,Tuesday,March
2007-03-28,20070328,2007,3,28,1,13,2,Wednesday,March
2007-03-29,20070329,2007,3,29,1,13,3,Thursday,March
2007-03-30,20070330,2007,3,30,1,13,4,Friday,March
2007-04-04,20070404,2007,4,4,2,14,2,Wednesday,April
2007-04-05,20070405,2007,4,5,2,14,3,Thursday,April
2007-04-06,20070406,2007,4,6,2,14,4,Friday,April
2007-04-07,20070407,2007,4,7,2,14,5,Saturday,April
2007-04-08,20070408,2007,4,8,2,14,6,Sunday,April
2007-04-09,20070409,2007,4,9,2,15,0,Monday,April
2007-04-10,20070410,2007,4,10,2,15,1,Tuesday,April
2007-04-11,20070411,2007,4,11,2,15,2,Wednesday,April
2007-04-12,20070412,2007,4,12,2,15,3,Thursday,April
2007-04-16,20070416,2007,4,16,2,16,0,Monday,April
2007-04-17,20070417,2007,4,17,2,16,1,Tuesday,April
2007-04-18,20070418,2007,4,18,2,16,2,Wednesday,April
2007-04-19,20070419,2007,4,19,2,16,3,Thursday,April
2007-04-24,20070424,2007,4,24,2,17,1,Tuesday,April
2007-04-25,20070425,2007,4,25,2,17,2,Wednesday,April
2007-05-03,20070503,2007,5,3,2,18,3,Thursday,May
2007-05-04,20070504,2007,5,4,2,18,4,Friday,May
2007-05-05,20070505,2007,5,5,2,18,5,Saturday,May
2007-05-06,20070506,2007,5,6,2,18,6,Sunday,May
2007-05-07,20070507,2007,5,7,2,19,0,Monday,May
2007-05-08,20070508,2007,5,8,2,19,1,Tuesday,May
2007-05-09,20070509,2007,5,9,2,19,2,Wednesday,May
2007-05-10,20070510,2007,5,10,2,19,3,Thursday,May
2007-05-11,20070511,2007,5,11,2,19,4,Friday,May
2007-05-12,20070512,2007,5,12,2,19,5,Saturday,May
2007-05-16,20070516,2007,5,16,2,20,2,Wednesday,May
2007-05-17,20070517,2007,5,17,2,20,3,Thursday,May
2007-05-18,20070518,2007,5,18,2,20,4,Friday,May
2007-05-21,20070521,2007,5,21,2,21,0,Monday,May
2007-05-22,20070522,2007,5,22,2,21,1,Tuesday,May
2007-05-25,20070525,2007,5,25,2,21,4,Friday,May
2007-05-28,20070528,2007,5,28,2,22,0,Monday,May
2007-05-29,20070529,2007,5,29,2,22,1,Tuesday,May
2007-05-30,20070530,2007,5,30,2,22,2,Wednesday,May
2007-05-31,20070531,2007,5,31,2,22,3,Thursday,May
2007-06-01,20070601,2007,6,1,2,22,4,Friday,June
2007-06-03,20070603,2007,6,3,2,22,6,Sunday,June
2007-06-04,20070604,2007,6,4,2,23,0,Monday,June
2007-06-05,20070605,2007,6,5,2,23,1,Tuesday,June
2007-06-06,20070606,2007,6,6,2,23,2,Wednesday,June
2007-06-07,20070607,2007,6,7,2,23,3,Thursday,June
2007-06-08,20070608,2007,6,8,2,23,4,Friday,June
2007-06-09,20070609,2007,6,9,2,23,5,Saturday,June
2007-06-10,20070610,2007,6,10,2,23,6,Sunday,June
2007-06-11,20070611,2007,6,11,2,24,0,Monday,June
2007-06-12,20070612,2007,6,12,2,24,1,Tuesday,June
2007-06-13,20070613,2007,6,13,2,24,2,Wednesday,June
2007-06-14,20070614,2007,6,14,2,24,3,Thursday,June
2007-06-18,20070618,2007,6,18,2,25,0,Monday,June
2007-06-19,20070619,2007,6,19,2,25,1,Tuesday,June
2007-06-20,20070620,2007,6,20,2,25,2,Wednesday,June
2007-06-21,20070621,2007,6,21,2,25,3,Thursday,June
2007-06-22,20070622,2007,6,22,2,25,4,Friday,June
2007-06-25,20070625,2007,6,25,2,26,0,Monday,June
2007-06-26,20070626,2007,6,26,2,26,1,Tuesday,June
2007-06-27,20070627,2007,6,27,2,26,2,Wednesday,June
2007-06-28,20070628,2007,6,28,2,26,3,Thursday,June
2007-06-29,20070629,2007,6,29,2,26,4,Friday,June
2007-07-02,20070702,2007,7,2,3,27,0,Monday,July
2007-07-03,20070703,2007,7,3,3,27,1,Tuesday,July
2007-07-04,20070704,2007,7,4,3,27,2,Wednesday,July
2007-07-05,20070705,2007,7,5,3,27,3,Thursday,July
2007-07-07,20070707,2007,7,7,3,27,5,Saturday,July
2007-07-08,20070708,2007,7,8,3,27,6,Sunday,July
2007-07-09,20070709,2007,7,9,3,28,0,Monday,July
2007-07-10,20070710,2007,7,10,3,28,1,Tuesday,July
2007-07-11,20070711,2007,7,11,3,28,2,Wednesday,July
2007-07-12,20070712,2007,7,12,3,28,3,Thursday,July
2007-07-19,20070719,2007,7,19,3,29,3,Thursday,July
2007-07-22,20070722,2007,7,22,3,29,6,Sunday,July
2007-07-23,20070723,2007,7,23,3,30,0,Monday,July
2007-07-24,20070724,2007,7,24,3,30,1,Tuesday,July
2007-07-25,20070725,2007,7,25,3,30,2,Wednesday,July
2007-07-27,20070727,2007,7,27,3,30,4,Friday,July
2007-07-31,20070731,2007,7,31,3,31,1,Tuesday,July
2007-08-02,20070802,2007,8,2,3,31,3,Thursday,August
2007-08-03,20070803,2007,8,3,3,31,4,Friday,August
2007-08-05,20070805,2007,8,5,3,31,6,Sunday,August
2007-08-06,20070806,2007,8,6,3,32,0,Monday,August
2007-08-07,20070807,2007,8,7,3,32,1,Tuesday,August
2007-08-08,20070808,2007,8,8,3,32,2,Wednesday,August
2007-08-09,20070809,2007,8,9,3,32,3,Thursday,August
2007-08-10,20070810,2007,8,10,3,32,4,Friday,August
2007-08-11,20070811,2007,8,11,3,32,5,Saturday,August
2007-08-12,20070812,2007,8,12,3,32,6,Sunday,August
2007-08-13,20070813,2007,8,13,3,33,0,Monday,August
2007-08-14,20070814,2007,8,14,3,33,1,Tuesday,August
2007-08-15,20070815,2007,8,15,3,33,2,Wednesday,August
2007-08-16,20070816,2007,8,16,3,33,3,Thursday,August
2007-08-20,20070820,2007,8,20,3,34,0,Monday,August
2007-08-22,20070822,2007,8,22,3,34,2,Wednesday,August
2007-08-24,20070824,2007,8,24,3,34,4,Friday,August
2007-08-27,20070827,2007,8,27,3,35,0,Monday,August
2007-08-29,20070829,2007,8,29,3,35,2,Wednesday,August
2007-08-30,20070830,2007,8,30,3,35,3,Thursday,August
2007-09-03,20070903,2007,9,3,3,36,0,Monday,September
2007-09-04,20070904,2007,9,4,3,36,1,Tuesday,September
2007-09-05,20070905,2007,9,5,3,36,2,Wednesday,September
2007-09-06,20070906,2007,9,6,3,36,3,Thursday,September
2007-09-07,20070907,2007,9,7,3,36,4,Friday,September
2007-09-08,20070908,2007,9,8,3,36,5,Saturday,September
2007-09-10,20070910,2007,9,10,3,37,0,Monday,September
2007-09-11,20070911,2007,9,11,3,37,1,Tuesday,September
2007-09-12,20070912,2007,9,12,3,37,2,Wednesday,September
2007-09-13,20070913,2007,9,13,3,37,3,Thursday,September
2007-09-14,20070914,2007,9,14,3,37,4,Friday,September
2007-09-15,20070915,2007,9,15,3,37,5,Saturday,September
2007-09-17,20070917,2007,9,17,3,38,0,Monday,September
2007-09-19,20070919,2007,9,19,3,38,2,Wednesday,September
2007-09-20,20070920,2007,9,20,3,38,3,Thursday,September
2007-09-21,20070921,2007,9,21,3,38,4,Friday,September
2007-09-24,20070924,2007,9,24,3,39,0,Monday,September
2007-09-25,20070925,2007,9,25,3,39,1,Tuesday,September
2007-09-26,20070926,2007,9,26,3,39,2,Wednesday,September
2007-09-27,20070927,2007,9,27,3,39,3,Thursday,September
2007-09-28,20070928,2007,9,28,3,39,4,Friday,September
2007-10-01,20071001,2007,10,1,4,40,0,Monday,October
2007-10-02,20071002,2007,10,2,4,40,1,Tuesday,October
2007-10-03,20071003,2007,10,3,4,40,2,Wednesday,October
2007-10-04,20071004,2007,10,4,4,40,3,Thursday,October
2007-10-05,20071005,2007,10,5,4,40,4,Friday,October
2007-10-06,20071006,2007,10,6,4,40,5,Saturday,October
2007-10-07,20071007,2007,10,7,4,40,6,Sunday,October
2007-10-08,20071008,2007,10,8,4,41,0,Monday,October
2007-10-09,20071009,2007,10,9,4,41,1,Tuesday,October
2007-10-10,20071010,2007,10,10,4,41,2,Wednesday,October
2007-10-11,20071011,2007,10,11,4,41,3,Thursday,October
2007-10-12,20071012,2007,10,12,4,41,4,Friday,October
2007-10-13,20071013,2007,10,13,4,41,5,Saturday,October
2007-10-15,20071015,2007,10,15,4,42,0,Monday,October
2007-10-16,20071016,2007,10,16,4,42,1,Tuesday,October
2007-10-18,20071018,2007,10,18,4,42,3,Thursday,October
2007-10-23,20071023,2007,10,23,4,43,1,Tuesday,October
2007-10-24,20071024,2007,10,24,4,43,2,Wednesday,October
2007-10-25,20071025,2007,10,25,4,43,3,Thursday,October
